nombre_plato,Prom_Agua,Prom_Energa,Prom_Grasa,Prom_Protenas,Unnamed: 5,Unnamed: 6,CATEGORIA_ESTANDAR,categoria_general
Aguadito,88.0,160.0,5.0,14.0,,,aguadito,aguadito
Aji de Gallina,35.8,150.6,3.06,5.52,,,aji_de_pollo_y_arroz,aji
Anticuchos,73.75,111.5,3.25,9.55,,,anticucho_con_papa_y_arroz,anticucho
Arroz Chaufa,20.9,174.2,2.84,6.34,,,arroz_chaufa_con_pollo_chijauk,arroz
Arroz con Mariscos,29.33,141.0,2.4,6.57,,,arroz_con_mariscos,arroz
Arroz con Pollo,39.14,141.6,2.28,6.92,,,arroz_con_pollo,arroz
Arroz Tapado,34.1,157.0,4.4,7.3,,,arroz_tapado,arroz
Bisteck a lo Pobre,41.4,167.67,5.93,6.2,,,bisteck_de_res_a_lo_pobre_con_,bisteck
Caldo de Gallina,88.7,33.0,0.25,2.15,,,sopa_de_gallina,sopa
Carapulcra,43.4,151.0,4.0,6.1,,,carapulcra_y_arroz,carapulcra
Cau Cau,43.04,112.0,1.8,4.56,,,cau_cau_con_arroz,cau
Causa Limea,71.12,130.2,6.22,3.62,,,causa,causa
Ceviche,71.01,104.89,2.1,7.97,,,cebiche_de_pescado,cebiche
Chanfainita,51.0,153.0,0.7,5.8,,,chanfainita_con_arroz,chanfainita
Chicharron de cerdo,74.0,100.0,1.6,2.7,,,cerdo_al_horno_con_arroz,cerdo
Chicharron de Mariscos,54.3,222.0,14.1,9.3,,,chicharron_mixto,chicharron
Choclo con Queso,42.57,151.0,9.4,8.87,,,choclo_con_queso,choclo
Choritos a la Chalaca,82.7,65.0,1.2,6.2,,,choritos_a_la_chalaca,choritos
Escabeche,44.0,139.0,2.42,7.0,,,escabeche_de_pescado_con_arroz,escabeche
Frejoles,23.1,114.0,1.9,7.0,,,arroz_con_frejoles_y_seco_de_p,arroz
Humitas,7.8,212.0,3.9,7.0,,,humitas,humitas
Lentejitas,22.63,159.33,1.97,8.27,,,lenteja_con_filete_de_pechuga_,lenteja
Locro,44.2,133.5,2.8,5.85,,,locro_con_higado_frito_y_arroz,locro
Lomo Saltado,42.88,165.6,6.64,5.32,,,lomo_saltado_con_arroz,lomo
Ocopa,67.26,125.4,4.64,3.82,,,crema_de_ocopa,crema
Olluquito,33.0,150.0,6.0,5.0,,,olluquito,olluquito
Papa a la Huancaina,68.34,118.4,3.9,3.52,,,papa_a_la_huancaina,papa
Papa Rellena,68.58,161.75,9.73,4.2,,,papa_rellena,papa
Patasca,14.63,74.25,2.6,3.8,,,patasca,patasca
Picante de cuy,56.65,194.5,9.05,4.35,,,picante_de_cuy_con_arroz,picante
Pollo a la Brasa,60.36,176.6,9.7,8.06,,,pollo_a_la_brasa_con_papas_fri,pollo
Pollo al horno con pur,38.0,144.5,3.15,7.18,,,pollo_al_horno_con_arroz,pollo
Pulpo al Olivo,81.0,80.0,1.4,12.6,,,pulpo al olivo,pulpo al olivo
Rocoto Relleno,27.9,148.0,2.9,5.2,,,rocoto_relleno,rocoto
Sopa a la Minuta,21.2,49.4,0.64,3.2,,,sopa_a_la_minuta,sopa
Tacu Tacu,29.13,150.0,3.57,7.73,,,tacu_tacu_con_churrasco,tacu
Tallarin Saltado,48.8,190.0,1.6,8.5,,,tallarines_saltado,tallarines
Tallarines Rojos,50.73,133.25,2.2,8.4,,,tallarines_rojos_con_pollo,tallarines
Tallarines Verdes,49.0,245.0,11.2,8.6,,,tallarines_verdes_con_churrasc,tallarines
Tamales,43.5,201.33,11.53,5.0,,,tamal_de_pollo,tamal
